scenarioId,scenarioURL,scenarioTitle,author1,author2,author3,author4,author5,author6,author7
id_0_test,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/0_test.xml,Project-centered EAD customization scenario,Charles Riondet (Inria),Lionel (Inria),,,,,
id_1_SSK_sc_loremIpsum,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/1_SSK_sc_loremIpsum.xml,Collaborative Digital Edition of a Musical Corpus,Vincent Besson (CNRS),Adeline Joffres (CNRS),Hélène Gautier (CNRS),,,,
SSK_sc_corpusModellingInTEI-minusDigitization,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_corpusModellingInTEI-minusDigitization.xml,"Scenario \""Creation of a TEI-based corpus\""",Klaus Illmayer (OEAW-ACDH),Susanne Haaf (BBAW),"Piotr Bański (IDS Mannheim, CLARIN)",,,,
SSK_sc_creatingMetadata,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_creatingMetadata.xml,Creation of Metadata scenario,Antonio Davide Madonna (MIBACT-ICCU),,,,,,
id_0_test,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_dictionaryInTei.xml,"""Create a dictionary in TEI"" scenario",Karlheinz Mörth (OEAW-ACDH),Charles Riondet (Inria),Lionel Tadjou (Inria),,,,
SSK_sc_digitization,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_digitization.xml,Digitization scenario,Frank Uiterwaal (NIOD-KNAW),Reinier de Valk (DANS-KNAW),,,,,
SSK_sc_DisseminationFieldSurveys,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_DisseminationFieldSurveys.xml,Encode and modelize field surveys for their online dissemination,"Hélène
                    Gautier (Huma-Num/CNRS)",Marie Puren (INRIA),,,,,
SSK_sc_DTABf,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_DTABf.xml,sc_DTABf.xml,Haaf Susanne (Berlin-Brandenburg Academy of Sciences and Humanities),,,,,,
SSK_sc_laserconservationrestoration,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_laserconservationrestoration.xml,"""Documenting application of lasers in conservation/restoration"" Scenario",Marta Castillejo (CSIC),Mikel Sanz (CSIC),,,,,
SSK_sc_LIBS,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_LIBS.xml,Standarizing Laser Induced Breakdown Spectrocopy analysis of glasses,Marta Castillejo (CSIC),Mikel Sanz (CSIC),,,,,
SSK_sc_manualTranscription_unst,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_manualTranscription_unst.xml,Digitization scenario,Frank Uiterwaal (NIOD-KNAW),,,,,,
SSK_sc_mei,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_mei.xml,Collaborative Digital Edition of a Musical Corpus,Vincent Besson (CNRS),Adeline Joffres (CNRS),Hélène Gautier (CNRS),,,,
SSK_sc_mustispectralImaging,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_mustispectralImaging.xml,Multispectral imaging for the in-situ characterization of painted works of art,Panayotis Siozos (IESL-FORTH),Demetrios Anglos (IESL-FORTH),,,,,
SSK_sc_Preservation3DObjects,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_Preservation3DObjects.xml,Preserving 3D digital objects,Sarah Tournon-Valiente (3D-SHS Huma-Num's consortium),Mehdi Chayani (3D-SHS Huma-Num's consortium),Valentin Grimaud (3D-SHS Huma-Num's consortium),Xavier Granier (3D-SHS Huma-Num's consortium),Hélène Gautier (Huma-Num/CNRS),Adeline Joffres (Huma-Num/CNRS),Paulin Ribbe (Huma-Num/CNRS)
SSK_sc_production3DObjectsScenario,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_production3DObjectsScenario.xml,Production and processing of 3D objects,Hélène Gautier (Huma-Num/CNRS),Adeline Joffres (Huma-Num/CNRS),Paulin Ribbe (Huma-Num/CNRS),Mehdi Chayani (3D-SHS Huma-Num's consortium),Xavier Granier (3D-SHS Huma-Num's consortium),Sarah Tournon-Valiente (3D-SHS Huma-Num's consortium),
SSK_sc_ProsopographyV2,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_ProsopographyV2.xml,Prosopography research,Maurizio Sanesi (SISMEL),Roberta Giacomi (SISMEL),Emiliano Degl'Innocenti (CNR-OVI),,,,
SSK_sc_ramanspectrometry,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_ramanspectrometry.xml,"Raman spectrometry for the analysis and identification of pigments directly on cultural
     heritage objects",Panayotis Siozos (IESL-FORTH),Demetrios Anglos (IESL-FORTH),,,,,
sc_prosopography_research,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_RUBRICA.xml,Aggregate together different datasets to obtain a single reference resource,Maurizio Sanesi (SISMEL),Roberta Giacomi (SISMEL),Emiliano Degl'Innocenti (CNR-OVI),,,,
sc_prosopography_research,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_RUBRICA_technical.xml,Aggregate different datasets using RUBRICA,Maurizio Sanesi (SISMEL),Roberta Giacomi (SISMEL),Emiliano Degl'Innocenti (CNR-OVI),,,,
SSK_sc_schemaCustomization,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_schemaCustomization.xml,Project-centered EAD customization scenario,Charles Riondet (Inria),,,,,,
SSK_sc_scholarsStandardsV2,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_scholarsStandardsV2.xml,Research standards for scholars,Maurizio Sanesi (SISMEL),Roberta Giacomi (SISMEL),Emiliano Degl'Innocenti (CNR-OVI),Claus Spiecker (FHP),Karolien Verbrugge (NIOD),,
SSK_sc_statisticalAnalysisOccupations,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_statisticalAnalysisOccupations.xml,Perform Statistical Analysis on Historical and Contemporary Occupations,Emilie Kraikamp (DANS),,,,,,
SSK_sc_trackingTheDissemination_unst,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_trackingTheDissemination_unst.xml,Tracking the dissemination of a specific work,Maurizio Sanesi (SISMEL),Roberta Giacomi (SISMEL),Claus Spiecker (FHP),Karolien Verbrugge (NIOD),,,
SSK_sc_trackingTheDisseminationV2,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_trackingTheDisseminationV2.xml,Dissemination of a work,Maurizio Sanesi (SISMEL),Roberta Giacomi (SISMEL),Emiliano Degl'Innocenti (CNR-OVI),Claus Spiecker (FHP),Karolien Verbrugge (NIOD),,
SSK_sc_corpusModellingInTEI,https://github.com/ParthenosWP4/SSK/tree/master/scenarios/SSK_sc_unst_corpusModellingInTEI.xml,"Scenario \""Creation of a TEI-based corpus\""",Klaus Illmayer (OEAW-ACDH),Susanne Haaf (BBAW),"Piotr Bański (IDS Mannheim, CLARIN)",,,,
